Ocupacion,Years_Trabajados,Tipo_Trabajo,Ingresos_Mensuales,Tipo_Contrato,Idioma_Casa,Lee_Escribe,Asiste_Asistio,Titulo_Alcanzado,Indice_pobreza,Condicion_pobreza
9,3,2,2500000,3,2,1,1,,3,0
8,2,2,2700000,3,2,1,1,,3,0
4,5,2,2500000,3,2,1,1,,3,0
7,2,2,2400000,4,2,1,1,,3,0
7,13,1,3700000,1,2,1,1,,3,0
3,8,2,2300000,3,2,1,1,14,3,0
5,0,2,2500000,3,2,1,1,,3,0
5,20,2,2300000,3,3,1,1,,3,0
9,3,2,2500000,4,1,1,1,,3,0
9,4,2,2272000,3,3,1,1,,3,0
9,7,2,2272000,3,3,1,1,,3,0
2,5,2,2300000,3,2,1,1,1,3,0
5,0,6,1000000,4,2,1,1,,3,0
9,5,2,3200000,1,2,1,1,14,3,0
4,24,1,4500000,1,2,1,1,1,3,0
5,12,1,3700000,1,3,1,1,14,3,0
9,5,1,3300000,3,3,1,1,,3,0
8,1,2,2300000,1,2,1,1,,3,0
9,5,1,4000000,3,3,1,1,14,3,0
7,2,2,2500000,1,1,1,1,,3,0
9,8,6,1500000,4,1,1,1,,3,0
9,6,2,1900000,3,3,1,1,,2,1
9,0,2,2000000,4,3,1,1,,3,0
3,5,1,2700000,1,2,1,1,14,3,0
5,0,2,1500000,4,3,1,1,,3,0
9,0,2,2500000,3,2,1,1,,3,0
2,15,1,3200000,1,3,1,1,14,3,0
9,6,6,500000,4,3,1,1,,3,0
5,1,2,800000,4,3,1,1,14,2,1
9,4,6,1200000,4,3,1,1,7,3,0
5,0,2,2500000,3,2,1,1,1,3,0
9,2,2,2500000,4,3,1,1,,3,0
9,0,2,1300000,3,3,1,1,,3,0
3,9,1,2500000,3,3,1,1,,3,0
5,0,2,2000000,3,2,1,1,14,3,0
3,5,2,1000000,4,2,1,1,14,3,0
3,10,2,2500000,3,2,1,1,,3,0
2,10,2,8000000,3,3,1,1,1,3,0
5,4,2,3000000,1,3,1,1,,3,0
4,1,2,1600000,4,3,1,1,,3,0
10,5,1,3000000,1,1,1,1,7,3,0
3,10,1,6000000,1,3,1,1,1,3,0
1,4,1,7000000,1,3,1,1,1,3,0
3,12,2,1600000,4,3,1,1,1,3,0
3,4,2,5000000,1,3,1,1,14,3,0
1,4,2,6000000,1,3,1,1,1,3,0
2,13,1,10000000,1,3,1,1,10,3,0
3,4,2,2500000,4,3,1,1,14,3,0
2,20,2,2250000,3,3,1,1,2,3,0
3,3,2,3000000,3,3,1,1,1,3,0
2,3,2,4200000,3,3,1,1,14,3,0
3,9,2,5500000,1,3,1,1,14,3,0
1,15,2,10000000,1,3,1,1,1,3,0
2,5,2,3200000,3,2,1,1,10,3,0
3,10,2,2500000,1,3,1,1,14,3,0
4,5,2,2500000,1,3,1,1,14,3,0
5,8,2,2500000,1,3,1,1,,3,0
7,20,2,2500000,1,3,1,1,,3,0
9,5,2,2500000,3,3,1,1,,3,0
9,18,6,2000000,4,3,1,1,,3,0
5,6,2,2500000,3,3,1,1,,3,0
3,0,2,3500000,3,3,1,1,14,3,0
2,16,2,7000000,2,3,1,1,1,3,0
3,0,2,2200000,1,3,1,1,,3,0
7,4,2,2000000,3,3,1,1,,3,0
2,1,2,5000000,1,2,1,1,14,3,0
3,0,2,4000000,4,2,1,1,14,3,0
1,10,2,3000000,1,2,1,1,1,3,0
9,25,6,1200000,4,2,1,1,,3,0
3,25,2,2500000,1,3,1,1,,3,0
3,5,2,2000000,4,3,1,1,,3,0
4,0,2,1800000,3,3,1,1,,3,0
2,16,1,5000000,1,3,1,1,1,3,0
1,3,2,2680000,4,2,1,1,14,3,0
7,6,2,2500000,1,2,1,1,,2,1
2,0,2,2500000,1,3,1,1,1,3,0
3,10,1,4200000,3,2,1,1,1,3,0
7,13,1,3000000,1,3,1,1,,3,0
9,20,6,1600000,4,3,1,1,,3,0
5,10,1,2200000,1,3,1,1,,3,0
9,5,2,2550000,4,3,1,1,,3,0
1,30,1,8778681,1,2,1,1,1,3,0
9,6,2,2454000,3,2,1,1,,3,0
5,3,2,2600000,1,2,1,1,1,3,0
2,15,1,5187000,1,2,1,1,1,3,0
3,10,1,3528000,1,2,1,1,1,3,0
9,20,6,2600000,4,2,1,1,,3,0
4,7,2,2500000,4,2,1,1,,3,0
9,25,6,800000,4,2,1,1,,3,0
7,1,2,2000000,4,2,1,1,,3,0
7,3,2,2860000,4,2,1,1,,3,0
3,12,2,4000000,1,3,1,1,14,3,0
3,1,2,3000000,1,3,1,1,1,3,0
4,15,1,3500000,1,2,1,1,14,3,0
3,10,1,3000000,1,3,1,1,,3,0
2,25,1,10000000,1,3,1,1,10,3,0
2,15,1,8000000,1,3,1,1,10,3,0
1,15,2,8000000,1,3,1,1,1,3,0
2,15,1,3000000,1,3,1,1,14,3,0
3,10,2,1500000,1,3,1,1,2,3,0
4,0,2,2460000,1,3,1,1,14,3,0
4,0,2,1921000,3,3,1,1,14,3,0
1,0,1,3100000,1,3,1,1,14,3,0
3,5,1,2930000,3,3,1,1,14,2,1
4,0,2,3500000,3,3,1,1,,3,0
5,10,2,2500000,4,3,1,1,1,3,0
5,6,2,1800000,4,2,1,1,7,3,0
3,3,2,2700000,1,2,1,1,1,3,0
2,4,1,2720000,1,2,1,1,1,3,0
9,0,2,1900000,3,3,1,1,,3,0
3,12,2,4000000,1,3,1,1,,3,0
9,10,1,2500000,1,3,1,1,,3,0
8,13,1,2500000,1,3,1,1,,3,0
3,4,2,2500000,3,3,1,1,14,3,0
3,8,1,3500000,1,2,1,1,14,3,0
3,10,1,2500000,3,2,1,1,14,3,0
3,14,1,3000000,1,3,1,1,7,3,0
8,12,2,2500000,4,3,1,1,,3,0
4,4,2,2200000,1,2,1,1,,3,0
5,7,2,2200000,1,2,1,1,,3,0
7,0,2,1400000,4,2,1,1,,2,1
9,24,6,2600000,4,3,1,1,,3,0
5,0,2,2200000,3,2,1,1,,3,0
5,1,2,1471320,3,3,1,1,,3,0
