B01REC,B03LU,B03MA,B03MI,B03JU,B03VI,B03SA,B03DO,B07A,B12,B16T,B26,E01A,E01B,E01C,E01H,ED01,ED02,ED03,ED0504,ED06C,ED08,ED10,e01aimde,e01hde,pobrezai,pobnopoi
"9,00","12,00","12,00","0,00","6,00","12,00","12,00","12,00","3,00","2,00","2.500.000,00","3,00","2.500.000,00","0,00","0,00","0,00","2,00","1,00","1,00","604,00",,"19,00","1,00","2.523.677,98","0,00","3,00","0,00"
"8,00","12,00","12,00","0,00","0,00","12,00","12,00","12,00","2,00","2,00","2.700.000,00","3,00","2.700.000,00","0,00","0,00","0,00","2,00","1,00","1,00","903,00",,"19,00","2,00","2.725.572,22","0,00","3,00","0,00"
"4,00","10,00","10,00","0,00","10,00","10,00","10,00","10,00","5,00","2,00","2.500.000,00","3,00","3.700.000,00","0,00","0,00","0,00","2,00","1,00","1,00","903,00",,"19,00","2,00","3.735.043,41","0,00","3,00","0,00"
"7,00","10,00","10,00","0,00","10,00","10,00","10,00","10,00","2,00","2,00","2.400.000,00","4,00","2.400.000,00","0,00","0,00","0,00","2,00","1,00","1,00","903,00",,"19,00","1,00","2.422.730,86","0,00","3,00","0,00"
"7,00","8,00","8,00","0,00","0,00","8,00","8,00","8,00","13,00","1,00","3.700.000,00","1,00","4.300.000,00","0,00","0,00","0,00","2,00","1,00","1,00","706,00",,"19,00","2,00","4.340.726,13","0,00","3,00","0,00"
"3,00","12,00","12,00","0,00","0,00","12,00","12,00","12,00","8,00","2,00","2.300.000,00","3,00","2.300.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.403,00","14,00","19,00","1,00","2.321.783,74","0,00","3,00","0,00"
"5,00","12,00","12,00","0,00","12,00","12,00","12,00","12,00","0,00","2,00","2.500.000,00","3,00","2.500.000,00","0,00","0,00","0,00","2,00","1,00","1,00","903,00",,"19,00","2,00","2.523.677,98","0,00","3,00","0,00"
"5,00","12,00","12,00","0,00","12,00","12,00","12,00","12,00","20,00","2,00","2.300.000,00","3,00","2.300.000,00","0,00","0,00","0,00","3,00","1,00","1,00","304,00",,"19,00","2,00","2.321.783,74","0,00","3,00","0,00"
"9,00","8,00","8,00","0,00","8,00","8,00","8,00","8,00","3,00","2,00","2.500.000,00","4,00","2.500.000,00","0,00","0,00","0,00","1,00","1,00","1,00","305,00",,"19,00","2,00","2.523.677,98","0,00","3,00","0,00"
"9,00","0,00","9,00","9,00","9,00","9,00","9,00","9,00","4,00","2,00","2.272.000,00","3,00","2.272.000,00","0,00","0,00","0,00","3,00","1,00","1,00","903,00",,"19,00","1,00","2.293.518,55","0,00","3,00","0,00"
